,stationName,day,season,result,hour
85,66,2,1,0,1
86,66,2,2,0,1
87,66,2,3,0,1
88,66,2,0,0,2
89,66,2,1,0,2
90,66,2,2,0,2
91,66,2,3,0,2
92,66,3,0,0,3
93,66,3,1,0,3
94,66,3,2,0,3
95,66,3,3,0,3
96,66,3,0,0,4
97,66,3,1,0,4
98,66,3,2,0,4
99,66,3,3,0,4
100,66,3,0,0,5
101,66,3,1,0,5
102,66,3,2,0,5
103,66,3,3,0,5
104,66,3,0,0,6
105,66,3,1,0,6
106,66,3,2,0,6
107,66,3,3,0,6
108,66,3,0,1,7
109,66,3,1,1,7
110,66,3,2,2,7
111,66,3,3,1,7
112,66,3,0,2,8
113,66,3,1,2,8
114,66,3,2,2,8
115,66,3,3,2,8
116,66,3,0,2,9
117,66,3,1,2,9
118,66,3,2,2,9
119,66,3,3,2,9
120,66,3,0,2,10
121,66,3,1,2,10
122,66,3,2,2,10
123,66,3,3,2,10
124,66,3,0,2,11
125,66,3,1,2,11
126,66,3,2,2,11
127,66,3,3,2,11
128,66,3,0,2,12
129,66,3,1,2,12
130,66,3,2,2,12
131,66,3,3,2,12
132,66,3,0,2,13
133,66,3,1,2,13
134,66,3,2,2,13
135,66,3,3,2,13
136,66,3,0,2,14
137,66,3,1,2,14
138,66,3,2,2,14
139,66,3,3,2,14
140,66,3,0,2,15
141,66,3,1,2,15
142,66,3,2,2,15
143,66,3,3,2,15
144,66,3,0,2,16
145,66,3,1,2,16
146,66,3,2,2,16
147,66,3,3,2,16
148,66,3,0,1,17
149,66,3,1,2,17
150,66,3,2,2,17
151,66,3,3,2,17
152,66,3,0,1,18
153,66,3,1,1,18
154,66,3,2,2,18
155,66,3,3,2,18
156,66,3,0,1,19
157,66,3,1,1,19
158,66,3,2,1,19
159,66,3,3,1,19
160,66,3,0,1,20
161,66,3,1,1,20
162,66,3,2,1,20
163,66,3,3,1,20
164,66,3,0,0,21
165,66,3,1,1,21
166,66,3,2,1,21
167,66,3,3,1,21
168,66,3,0,0,22
169,66,3,1,0,22
170,66,3,2,1,22
171,66,3,3,0,22
172,66,3,0,0,23
173,66,3,1,0,23
174,66,3,2,0,23
175,66,3,3,0,23
176,66,3,0,0,0
177,66,3,1,0,0
178,66,3,2,0,0
179,66,3,3,0,0
180,66,3,0,0,1
181,66,3,1,0,1
182,66,3,2,0,1
183,66,3,3,0,1
184,66,1,0,0,2
185,66,1,1,0,2
186,66,1,2,0,2
187,66,1,3,0,2
188,66,1,0,0,3
189,66,1,1,0,3
190,66,1,2,0,3
191,66,1,3,0,3
192,66,1,0,0,4
193,66,1,1,0,4
194,66,1,2,0,4
195,66,1,3,0,4
196,66,1,0,0,5
197,66,1,1,0,5
198,66,1,2,0,5
199,66,1,3,0,5
200,66,1,0,1,6
201,66,1,1,1,6
202,66,1,2,1,6
203,66,1,3,1,6
204,66,1,0,2,7
205,66,1,1,2,7
206,66,1,2,2,7
207,66,1,3,2,7
208,66,1,0,2,8
209,66,1,1,2,8
210,66,1,2,2,8
211,66,1,3,2,8
212,66,1,0,2,9
213,66,1,1,2,9
214,66,1,2,2,9
215,66,1,3,2,9
216,66,1,0,2,10
217,66,1,1,2,10
218,66,1,2,2,10
219,66,1,3,2,10
220,66,1,0,2,11
221,66,1,1,2,11
222,66,1,2,2,11
223,66,1,3,2,11
224,66,1,0,2,12
225,66,1,1,2,12
226,66,1,2,2,12
227,66,1,3,2,12
228,66,1,0,2,13
229,66,1,1,2,13
230,66,1,2,2,13
231,66,1,3,2,13
232,66,1,0,2,14
233,66,1,1,2,14
234,66,1,2,2,14
235,66,1,3,2,14
236,66,1,0,2,15
237,66,1,1,2,15
238,66,1,2,2,15
239,66,1,3,2,15
240,66,1,0,2,16
241,66,1,1,2,16
242,66,1,2,2,16
243,66,1,3,2,16
244,66,1,0,1,17
245,66,1,1,2,17
246,66,1,2,2,17
247,66,1,3,2,17
248,66,1,0,1,18
249,66,1,1,1,18
250,66,1,2,2,18
251,66,1,3,1,18
252,66,1,0,1,19
253,66,1,1,1,19
254,66,1,2,1,19
255,66,1,3,1,19
256,66,1,0,1,20
257,66,1,1,1,20
258,66,1,2,1,20
259,66,1,3,1,20
260,66,1,0,1,21
261,66,1,1,1,21
262,66,1,2,1,21
263,66,1,3,1,21
264,66,1,0,0,22
265,66,1,1,0,22
266,66,1,2,1,22
267,66,1,3,1,22
268,66,1,0,0,23
269,66,1,1,0,23
270,66,1,2,0,23
271,66,1,3,0,23
272,66,1,0,0,0
273,66,1,1,0,0
274,66,1,2,0,0
275,66,1,3,0,0
276,66,5,0,0,1
277,66,5,1,0,1
278,66,5,2,0,1
279,66,5,3,0,1
280,66,5,0,0,2
281,66,5,1,0,2
282,66,5,2,0,2
283,66,5,3,0,2
284,66,5,0,0,3
285,66,5,1,0,3
286,66,5,2,0,3
287,66,5,3,0,3
288,66,5,0,0,4
289,66,5,1,0,4
290,66,5,2,0,4
291,66,5,3,0,4
292,66,5,0,0,5
293,66,5,1,0,5
294,66,5,2,0,5
295,66,5,3,0,5
296,66,5,0,1,6
297,66,5,1,1,6
298,66,5,2,1,6
299,66,5,3,1,6
300,66,5,0,1,7
301,66,5,1,2,7
302,66,5,2,2,7
303,66,5,3,2,7
304,66,5,0,2,8
305,66,5,1,2,8
306,66,5,2,2,8
307,66,5,3,2,8
308,66,5,0,2,9
309,66,5,1,2,9
310,66,5,2,2,9
311,66,5,3,2,9
312,66,5,0,2,10
313,66,5,1,2,10
314,66,5,2,2,10
315,66,5,3,2,10
316,66,5,0,2,11
317,66,5,1,2,11
318,66,5,2,2,11
319,66,5,3,2,11
320,66,5,0,2,12
321,66,5,1,2,12
322,66,5,2,2,12
323,66,5,3,2,12
324,66,5,0,2,13
325,66,5,1,2,13
326,66,5,2,2,13
327,66,5,3,2,13
328,66,5,0,2,14
329,66,5,1,2,14
330,66,5,2,2,14
331,66,5,3,2,14
332,66,5,0,2,15
333,66,5,1,2,15
334,66,5,2,2,15
335,66,5,3,2,15
336,66,5,0,2,16
337,66,5,1,2,16
338,66,5,2,2,16
339,66,5,3,2,16
340,66,5,0,2,17
341,66,5,1,2,17
342,66,5,2,2,17
343,66,5,3,2,17
344,66,5,0,1,18
345,66,5,1,1,18
346,66,5,2,2,18
347,66,5,3,2,18
348,66,5,0,1,19
349,66,5,1,1,19
350,66,5,2,2,19
351,66,5,3,1,19
352,66,5,0,1,20
353,66,5,1,1,20
354,66,5,2,1,20
355,66,5,3,1,20
356,66,5,0,1,21
357,66,5,1,1,21
358,66,5,2,1,21
359,66,5,3,1,21
360,66,5,0,1,22
361,66,5,1,1,22
362,66,5,2,1,22
363,66,5,3,1,22
364,66,5,0,0,23
365,66,5,1,0,23
366,66,5,2,0,23
367,66,5,3,0,23
368,66,6,0,0,0
369,66,6,1,0,0
370,66,6,2,0,0
371,66,6,3,0,0
372,66,6,0,0,1
373,66,6,1,0,1
374,66,6,2,0,1
375,66,6,3,0,1
376,66,6,0,0,2
377,66,6,1,0,2
378,66,6,2,0,2
379,66,6,3,0,2
380,66,6,0,0,3
381,66,6,1,0,3
382,66,6,2,0,3
383,66,6,3,0,3
384,66,6,0,0,4
385,66,6,1,0,4
386,66,6,2,0,4
387,66,6,3,0,4
388,66,6,0,0,5
389,66,6,1,0,5
390,66,6,2,0,5
391,66,6,3,0,5
392,66,6,0,0,6
393,66,6,1,0,6
394,66,6,2,1,6
395,66,6,3,0,6
396,66,6,0,1,7
397,66,6,1,1,7
398,66,6,2,2,7
399,66,6,3,1,7
400,66,6,0,2,8
401,66,6,1,2,8
402,66,6,2,2,8
403,66,6,3,2,8
404,66,6,0,2,9
405,66,6,1,2,9
406,66,6,2,2,9
407,66,6,3,2,9
408,66,6,0,2,10
409,66,6,1,2,10
410,66,6,2,2,10
411,66,6,3,2,10
412,66,6,0,2,11
413,66,6,1,2,11
414,66,6,2,2,11
415,66,6,3,2,11
416,66,6,0,2,12
417,66,6,1,2,12
418,66,6,2,2,12
419,66,6,3,2,12
420,66,6,0,2,13
421,66,6,1,2,13
422,66,6,2,2,13
423,66,6,3,2,13
424,66,6,0,2,14
425,66,6,1,2,14
426,66,6,2,2,14
427,66,6,3,2,14
428,66,6,0,2,15
429,66,6,1,2,15
430,66,6,2,2,15
431,66,6,3,2,15
432,66,6,0,2,16
433,66,6,1,2,16
434,66,6,2,2,16
435,66,6,3,2,16
436,66,6,0,2,17
437,66,6,1,2,17
438,66,6,2,2,17
439,66,6,3,2,17
440,66,6,0,2,18
441,66,6,1,2,18
442,66,6,2,2,18
443,66,6,3,2,18
444,66,6,0,1,19
445,66,6,1,2,19
446,66,6,2,2,19
447,66,6,3,2,19
448,66,6,0,1,20
449,66,6,1,1,20
450,66,6,2,2,20
451,66,6,3,2,20
452,66,6,0,1,21
453,66,6,1,1,21
454,66,6,2,2,21
455,66,6,3,1,21
456,66,6,0,1,22
457,66,6,1,1,22
458,66,6,2,1,22
459,66,6,3,1,22
460,66,4,0,0,23
461,66,4,1,0,23
462,66,4,2,0,23
463,66,4,3,0,23
464,66,4,0,0,0
465,66,4,1,0,0
466,66,4,2,0,0
467,66,4,3,0,0
468,66,4,0,0,1
469,66,4,1,0,1
470,66,4,2,0,1
471,66,4,3,0,1
472,66,4,0,0,2
473,66,4,1,0,2
474,66,4,2,0,2
475,66,4,3,0,2
476,66,4,0,0,3
477,66,4,1,0,3
478,66,4,2,0,3
479,66,4,3,0,3
480,66,4,0,0,4
481,66,4,1,0,4
482,66,4,2,0,4
483,66,4,3,0,4
484,66,4,0,0,5
485,66,4,1,0,5
486,66,4,2,0,5
487,66,4,3,0,5
488,66,4,0,0,6
489,66,4,1,0,6
490,66,4,2,0,6
491,66,4,3,0,6
492,66,4,0,0,7
493,66,4,1,0,7
494,66,4,2,0,7
495,66,4,3,0,7
496,66,4,0,0,8
497,66,4,1,0,8
498,66,4,2,1,8
499,66,4,3,1,8
500,66,4,0,1,9
501,66,4,1,1,9
502,66,4,2,1,9
503,66,4,3,1,9
504,66,4,0,1,10
505,66,4,1,1,10
506,66,4,2,1,10
507,66,4,3,1,10
508,66,4,0,1,11
509,66,4,1,1,11
510,66,4,2,2,11
511,66,4,3,1,11
512,66,4,0,1,12
513,66,4,1,1,12
514,66,4,2,2,12
515,66,4,3,2,12
516,66,4,0,1,13
517,66,4,1,1,13
518,66,4,2,2,13
519,66,4,3,2,13
520,66,4,0,1,14
521,66,4,1,1,14
522,66,4,2,2,14
523,66,4,3,2,14
524,66,4,0,1,15
525,66,4,1,1,15
526,66,4,2,2,15
527,66,4,3,1,15
528,66,4,0,1,16
529,66,4,1,1,16
530,66,4,2,1,16
531,66,4,3,1,16
532,66,4,0,1,17
533,66,4,1,1,17
534,66,4,2,1,17
535,66,4,3,1,17
536,66,4,0,1,18
537,66,4,1,1,18
538,66,4,2,1,18
539,66,4,3,1,18
540,66,4,0,1,19
541,66,4,1,1,19
542,66,4,2,1,19
543,66,4,3,1,19
544,66,4,0,1,20
545,66,4,1,1,20
546,66,4,2,1,20
547,66,4,3,1,20
548,66,4,0,1,21
549,66,4,1,1,21
550,66,4,2,1,21
551,66,4,3,1,21
552,66,0,0,0,22
553,66,0,1,0,22
554,66,0,2,1,22
555,66,0,3,1,22
556,66,0,0,0,23
557,66,0,1,0,23
558,66,0,2,0,23
559,66,0,3,0,23
560,66,0,0,0,0
561,66,0,1,0,0
562,66,0,2,0,0
563,66,0,3,0,0
564,66,0,0,0,1
565,66,0,1,0,1
566,66,0,2,0,1
567,66,0,3,0,1
568,66,0,0,0,2
569,66,0,1,0,2
570,66,0,2,0,2
571,66,0,3,0,2
572,66,0,0,0,3
573,66,0,1,0,3
574,66,0,2,0,3
575,66,0,3,0,3
576,66,0,0,0,4
577,66,0,1,0,4
578,66,0,2,0,4
579,66,0,3,0,4
580,66,0,0,0,5
581,66,0,1,0,5
582,66,0,2,0,5
583,66,0,3,0,5
584,66,0,0,0,6
585,66,0,1,0,6
586,66,0,2,0,6
587,66,0,3,0,6
588,66,0,0,1,7
589,66,0,1,1,7
590,66,0,2,1,7
591,66,0,3,1,7
592,66,0,0,1,8
593,66,0,1,1,8
594,66,0,2,2,8
595,66,0,3,2,8
596,66,0,0,2,9
597,66,0,1,2,9
598,66,0,2,2,9
599,66,0,3,2,9
600,66,0,0,2,10
601,66,0,1,2,10
602,66,0,2,2,10
603,66,0,3,2,10
604,66,0,0,2,11
605,66,0,1,2,11
606,66,0,2,2,11
607,66,0,3,2,11
608,66,0,0,2,12
609,66,0,1,2,12
610,66,0,2,2,12
611,66,0,3,2,12
612,66,0,0,2,13
613,66,0,1,2,13
614,66,0,2,2,13
615,66,0,3,2,13
616,66,0,0,1,14
617,66,0,1,2,14
618,66,0,2,2,14
619,66,0,3,2,14
620,66,0,0,1,15
621,66,0,1,2,15
622,66,0,2,2,15
623,66,0,3,2,15
624,66,0,0,1,16
625,66,0,1,1,16
626,66,0,2,2,16
627,66,0,3,2,16
628,66,0,0,1,17
629,66,0,1,1,17
630,66,0,2,1,17
631,66,0,3,1,17
632,66,0,0,1,18
633,66,0,1,1,18
634,66,0,2,1,18
635,66,0,3,1,18
636,66,0,0,0,19
637,66,0,1,1,19
638,66,0,2,1,19
639,66,0,3,1,19
640,66,0,0,0,20
641,66,0,1,0,20
642,66,0,2,1,20
643,66,0,3,0,20
644,73,2,0,0,4
645,73,2,1,0,4
646,73,2,2,0,4
647,73,2,3,0,4
648,73,2,0,0,5
649,73,2,1,0,5
650,73,2,2,0,5
651,73,2,3,0,5
652,73,2,0,0,6
653,73,2,1,0,6
654,73,2,2,0,6
655,73,2,3,0,6
656,73,2,0,0,7
657,73,2,1,0,7
658,73,2,2,0,7
659,73,2,3,0,7
660,73,2,0,1,8
661,73,2,1,1,8
662,73,2,2,1,8
663,73,2,3,1,8
664,73,2,0,1,9
665,73,2,1,1,9
666,73,2,2,1,9
667,73,2,3,1,9
668,73,2,0,1,10
669,73,2,1,1,10
670,73,2,2,1,10
671,73,2,3,1,10
672,73,2,0,1,11
673,73,2,1,1,11
674,73,2,2,1,11
675,73,2,3,1,11
676,73,2,0,1,12
677,73,2,1,1,12
678,73,2,2,1,12
679,73,2,3,1,12
680,73,2,0,1,13
681,73,2,1,1,13
682,73,2,2,1,13
683,73,2,3,1,13
684,73,2,0,1,14
685,73,2,1,1,14
686,73,2,2,2,14
687,73,2,3,1,14
688,73,2,0,2,15
689,73,2,1,2,15
690,73,2,2,2,15
691,73,2,3,2,15
692,73,2,0,2,16
693,73,2,1,2,16
694,73,2,2,2,16
695,73,2,3,2,16
696,73,2,0,2,17
697,73,2,1,2,17
698,73,2,2,2,17
699,73,2,3,2,17
700,73,2,0,2,18
701,73,2,1,2,18
702,73,2,2,2,18
703,73,2,3,2,18
704,73,2,0,2,19
705,73,2,1,2,19
706,73,2,2,2,19
707,73,2,3,2,19
708,73,2,0,1,20
709,73,2,1,1,20
710,73,2,2,2,20
711,73,2,3,2,20
712,73,2,0,1,21
713,73,2,1,1,21
714,73,2,2,1,21
715,73,2,3,1,21
716,73,2,0,1,22
717,73,2,1,1,22
718,73,2,2,1,22
719,73,2,3,1,22
720,73,2,0,0,23
721,73,2,1,0,23
722,73,2,2,0,23
723,73,2,3,0,23
724,73,2,0,0,0
725,73,2,1,0,0
726,73,2,2,0,0
727,73,2,3,0,0
728,73,2,0,0,1
729,73,2,1,0,1
730,73,2,2,0,1
731,73,2,3,0,1
732,73,2,0,0,2
733,73,2,1,0,2
734,73,2,2,0,2
735,73,2,3,0,2
736,73,3,0,0,3
737,73,3,1,0,3
738,73,3,2,0,3
739,73,3,3,0,3
740,73,3,0,0,4
741,73,3,1,0,4
742,73,3,2,0,4
743,73,3,3,0,4
744,73,3,0,0,5
745,73,3,1,0,5
746,73,3,2,0,5
747,73,3,3,0,5
748,73,3,0,0,6
749,73,3,1,0,6
750,73,3,2,0,6
751,73,3,3,0,6
752,73,3,0,0,7
753,73,3,1,0,7
754,73,3,2,1,7
755,73,3,3,0,7
756,73,3,0,1,8
757,73,3,1,1,8
758,73,3,2,1,8
759,73,3,3,1,8
760,73,3,0,1,9
761,73,3,1,1,9
762,73,3,2,2,9
763,73,3,3,1,9
764,73,3,0,1,10
765,73,3,1,1,10
766,73,3,2,2,10
767,73,3,3,1,10
768,73,3,0,1,11
769,73,3,1,1,11
770,73,3,2,1,11
771,73,3,3,1,11
772,73,3,0,1,12
773,73,3,1,1,12
774,73,3,2,1,12
775,73,3,3,1,12
776,73,3,0,1,13
777,73,3,1,1,13
778,73,3,2,1,13
779,73,3,3,1,13
780,73,3,0,1,14
781,73,3,1,2,14
782,73,3,2,2,14
783,73,3,3,2,14
784,73,3,0,2,15
785,73,3,1,2,15
786,73,3,2,2,15
787,73,3,3,2,15
788,73,3,0,2,16
789,73,3,1,2,16
790,73,3,2,2,16
791,73,3,3,2,16
792,73,3,0,2,17
793,73,3,1,2,17
794,73,3,2,2,17
795,73,3,3,2,17
796,73,3,0,2,18
797,73,3,1,2,18
798,73,3,2,2,18
799,73,3,3,2,18
800,73,3,0,2,19
801,73,3,1,2,19
802,73,3,2,2,19
803,73,3,3,2,19
804,73,3,0,2,20
805,73,3,1,2,20
806,73,3,2,2,20
807,73,3,3,2,20
808,73,3,0,1,21
809,73,3,1,1,21
810,73,3,2,2,21
811,73,3,3,1,21
812,73,3,0,1,22
813,73,3,1,1,22
814,73,3,2,1,22
815,73,3,3,1,22
816,73,3,0,0,23
817,73,3,1,0,23
818,73,3,2,1,23
819,73,3,3,0,23
820,73,3,0,0,0
821,73,3,1,0,0
822,73,3,2,0,0
823,73,3,3,0,0
824,73,3,0,0,1
825,73,3,1,0,1
826,73,3,2,0,1
827,73,3,3,0,1
828,73,1,0,0,2
829,73,1,1,0,2
830,73,1,2,0,2
831,73,1,3,0,2
832,73,1,0,0,3
833,73,1,1,0,3
834,73,1,2,0,3
835,73,1,3,0,3
836,73,1,0,0,4
837,73,1,1,0,4
838,73,1,2,0,4
839,73,1,3,0,4
840,73,1,0,0,5
841,73,1,1,0,5
842,73,1,2,0,5
843,73,1,3,0,5
844,73,1,0,0,6
845,73,1,1,0,6
846,73,1,2,0,6
847,73,1,3,0,6
848,73,1,0,0,7
849,73,1,1,0,7
850,73,1,2,1,7
851,73,1,3,1,7
852,73,1,0,1,8
853,73,1,1,1,8
854,73,1,2,1,8
855,73,1,3,1,8
856,73,1,0,1,9
857,73,1,1,1,9
858,73,1,2,2,9
859,73,1,3,2,9
860,73,1,0,1,10
861,73,1,1,1,10
862,73,1,2,2,10
863,73,1,3,2,10
864,73,1,0,1,11
865,73,1,1,1,11
866,73,1,2,2,11
867,73,1,3,1,11
868,73,1,0,1,12
869,73,1,1,1,12
870,73,1,2,1,12
871,73,1,3,1,12
872,73,1,0,1,13
873,73,1,1,1,13
874,73,1,2,2,13
875,73,1,3,1,13
876,73,1,0,1,14
877,73,1,1,1,14
878,73,1,2,2,14
879,73,1,3,2,14
880,73,1,0,2,15
881,73,1,1,2,15
882,73,1,2,2,15
883,73,1,3,2,15
884,73,1,0,2,16
885,73,1,1,2,16
886,73,1,2,2,16
887,73,1,3,2,16
888,73,1,0,2,17
889,73,1,1,2,17
890,73,1,2,2,17
891,73,1,3,2,17
892,73,1,0,2,18
893,73,1,1,2,18
894,73,1,2,2,18
895,73,1,3,2,18
896,73,1,0,2,19
897,73,1,1,2,19
898,73,1,2,2,19
899,73,1,3,2,19
900,73,1,0,1,20
901,73,1,1,2,20
902,73,1,2,2,20
903,73,1,3,2,20
904,73,1,0,1,21
905,73,1,1,1,21
906,73,1,2,2,21
907,73,1,3,1,21
908,73,1,0,1,22
909,73,1,1,1,22
910,73,1,2,1,22
911,73,1,3,1,22
912,73,1,0,0,23
913,73,1,1,0,23
914,73,1,2,1,23
915,73,1,3,0,23
916,73,1,0,0,0
917,73,1,1,0,0
918,73,1,2,0,0
919,73,1,3,0,0
920,73,5,0,0,1
921,73,5,1,0,1
922,73,5,2,0,1
923,73,5,3,0,1
924,73,5,0,0,2
925,73,5,1,0,2
926,73,5,2,0,2
927,73,5,3,0,2
928,73,5,0,0,3
929,73,5,1,0,3
930,73,5,2,0,3
931,73,5,3,0,3
932,73,5,0,0,4
933,73,5,1,0,4
934,73,5,2,0,4
935,73,5,3,0,4
936,73,5,0,0,5
937,73,5,1,0,5
938,73,5,2,0,5
939,73,5,3,0,5
940,73,5,0,0,6
941,73,5,1,0,6
942,73,5,2,0,6
943,73,5,3,0,6
944,73,5,0,0,7
945,73,5,1,0,7
946,73,5,2,1,7
947,73,5,3,1,7
948,73,5,0,1,8
949,73,5,1,1,8
950,73,5,2,1,8
951,73,5,3,1,8
952,73,5,0,1,9
953,73,5,1,1,9
954,73,5,2,2,9
955,73,5,3,2,9
956,73,5,0,1,10
957,73,5,1,1,10
958,73,5,2,2,10
959,73,5,3,2,10
960,73,5,0,1,11
961,73,5,1,1,11
962,73,5,2,2,11
963,73,5,3,1,11
964,73,5,0,1,12
965,73,5,1,1,12
966,73,5,2,1,12
967,73,5,3,1,12
968,73,5,0,1,13
969,73,5,1,1,13
970,73,5,2,2,13
971,73,5,3,1,13
972,73,5,0,1,14
973,73,5,1,2,14
974,73,5,2,2,14
975,73,5,3,2,14
976,73,5,0,2,15
977,73,5,1,2,15
978,73,5,2,2,15
979,73,5,3,2,15
980,73,5,0,2,16
981,73,5,1,2,16
982,73,5,2,2,16
983,73,5,3,2,16
984,73,5,0,2,17
985,73,5,1,2,17
986,73,5,2,2,17
987,73,5,3,2,17
988,73,5,0,2,18
989,73,5,1,2,18
990,73,5,2,2,18
991,73,5,3,2,18
992,73,5,0,2,19
993,73,5,1,2,19
994,73,5,2,2,19
995,73,5,3,2,19
996,73,5,0,2,20
997,73,5,1,2,20
998,73,5,2,2,20
999,73,5,3,2,20
1000,73,5,0,1,21
1001,73,5,1,1,21
1002,73,5,2,2,21
1003,73,5,3,1,21
1004,73,5,0,1,22
1005,73,5,1,1,22
1006,73,5,2,1,22
1007,73,5,3,1,22
1008,73,5,0,0,23
1009,73,5,1,0,23
1010,73,5,2,1,23
1011,73,5,3,0,23
1012,73,6,0,0,0
1013,73,6,1,0,0
1014,73,6,2,0,0
1015,73,6,3,0,0
1016,73,6,0,0,1
1017,73,6,1,0,1
1018,73,6,2,0,1
1019,73,6,3,0,1
1020,73,6,0,0,2
1021,73,6,1,0,2
1022,73,6,2,0,2
1023,73,6,3,0,2
1024,73,6,0,0,3
1025,73,6,1,0,3
1026,73,6,2,0,3
1027,73,6,3,0,3
1028,73,6,0,0,4
1029,73,6,1,0,4
1030,73,6,2,0,4
1031,73,6,3,0,4
1032,73,6,0,0,5
1033,73,6,1,0,5
1034,73,6,2,0,5
1035,73,6,3,0,5
1036,73,6,0,0,6
1037,73,6,1,0,6
1038,73,6,2,0,6
1039,73,6,3,0,6
1040,73,6,0,0,7
1041,73,6,1,0,7
1042,73,6,2,1,7
1043,73,6,3,0,7
1044,73,6,0,1,8
1045,73,6,1,1,8
1046,73,6,2,1,8
1047,73,6,3,1,8
1048,73,6,0,1,9
1049,73,6,1,1,9
1050,73,6,2,1,9
1051,73,6,3,1,9
1052,73,6,0,1,10
1053,73,6,1,1,10
1054,73,6,2,1,10
1055,73,6,3,1,10
1056,73,6,0,1,11
1057,73,6,1,1,11
1058,73,6,2,1,11
1059,73,6,3,1,11
1060,73,6,0,1,12
1061,73,6,1,1,12
1062,73,6,2,1,12
1063,73,6,3,1,12
1064,73,6,0,1,13
1065,73,6,1,1,13
1066,73,6,2,1,13
1067,73,6,3,1,13
1068,73,6,0,1,14
1069,73,6,1,2,14
1070,73,6,2,2,14
1071,73,6,3,2,14
1072,73,6,0,2,15
1073,73,6,1,2,15
1074,73,6,2,2,15
1075,73,6,3,2,15
1076,73,6,0,2,16
1077,73,6,1,2,16
1078,73,6,2,2,16
1079,73,6,3,2,16
1080,73,6,0,2,17
1081,73,6,1,2,17
1082,73,6,2,2,17
1083,73,6,3,2,17
1084,73,6,0,2,18
1085,73,6,1,2,18
1086,73,6,2,2,18
1087,73,6,3,2,18
1088,73,6,0,2,19
1089,73,6,1,2,19
1090,73,6,2,2,19
1091,73,6,3,2,19
1092,73,6,0,1,20
1093,73,6,1,2,20
1094,73,6,2,2,20
1095,73,6,3,2,20
1096,73,6,0,1,21
1097,73,6,1,1,21
1098,73,6,2,2,21
1099,73,6,3,2,21
1100,73,6,0,1,22
1101,73,6,1,1,22
1102,73,6,2,2,22
1103,73,6,3,1,22
1104,73,4,0,1,23
1105,73,4,1,1,23
1106,73,4,2,1,23
1107,73,4,3,1,23
1108,73,4,0,0,0
1109,73,4,1,0,0
1110,73,4,2,0,0
1111,73,4,3,0,0
1112,73,4,0,0,1
1113,73,4,1,0,1
1114,73,4,2,0,1
1115,73,4,3,0,1
1116,73,4,0,0,2
1117,73,4,1,0,2
1118,73,4,2,0,2
1119,73,4,3,0,2
1120,73,4,0,0,3
1121,73,4,1,0,3
1122,73,4,2,0,3
1123,73,4,3,0,3
1124,73,4,0,0,4
1125,73,4,1,0,4
1126,73,4,2,0,4
1127,73,4,3,0,4
1128,73,4,0,0,5
1129,73,4,1,0,5
1130,73,4,2,0,5
1131,73,4,3,0,5
1132,73,4,0,0,6
1133,73,4,1,0,6
1134,73,4,2,0,6
1135,73,4,3,0,6
1136,73,4,0,0,7
1137,73,4,1,0,7
1138,73,4,2,0,7
1139,73,4,3,0,7
1140,73,4,0,0,8
1141,73,4,1,0,8
1142,73,4,2,0,8
1143,73,4,3,0,8
1144,73,4,0,0,9
1145,73,4,1,0,9
1146,73,4,2,0,9
1147,73,4,3,0,9
1148,73,4,0,0,10
1149,73,4,1,0,10
1150,73,4,2,0,10
