stationName,day,time,season,result
Tora El-Balad,Saturday ,7:00 PM,Autumn,busy
Tora El-Balad,Saturday ,7:00 PM,Spring,busy
Tora El-Balad,Saturday ,7:00 PM,Winter,busy
Tora El-Balad,Saturday ,7:00 PM,Summer,busy
Tora El-Balad,Saturday ,8:00 PM,Autumn,busy
Tora El-Balad,Saturday ,8:00 PM,Spring,busy
Tora El-Balad,Saturday ,8:00 PM,Winter,busy
Tora El-Balad,Saturday ,8:00 PM,Summer,busy
Tora El-Balad,Saturday ,9:00 PM,Autumn,normal
Tora El-Balad,Saturday ,9:00 PM,Spring,normal
Tora El-Balad,Saturday ,9:00 PM,Winter,busy
Tora El-Balad,Saturday ,9:00 PM,Summer,busy
Tora El-Balad,Saturday ,10:00 PM,Autumn,normal
Tora El-Balad,Saturday ,10:00 PM,Spring,normal
Tora El-Balad,Saturday ,10:00 PM,Winter,normal
Tora El-Balad,Saturday ,10:00 PM,Summer,normal
Tora El-Balad,Saturday ,11:00 PM,Autumn,normal
Tora El-Balad,Saturday ,11:00 PM,Spring,normal
Tora El-Balad,Saturday ,11:00 PM,Winter,normal
Tora El-Balad,Saturday ,11:00 PM,Summer,normal
Tora El-Balad,Saturday ,12:00 AM,Autumn,normal
Tora El-Balad,Saturday ,12:00 AM,Spring,normal
Tora El-Balad,Saturday ,12:00 AM,Winter,normal
Tora El-Balad,Saturday ,12:00 AM,Summer,normal
Tora El-Balad,Saturday ,1:00 AM,Autumn,normal
Tora El-Balad,Saturday ,1:00 AM,Spring,normal
Tora El-Balad,Saturday ,1:00 AM,Winter,normal
Tora El-Balad,Saturday ,1:00 AM,Summer,normal
Tora El-Balad,Saturday ,2:00 AM,Autumn,normal
Tora El-Balad,Saturday ,2:00 AM,Spring,normal
Tora El-Balad,Saturday ,2:00 AM,Winter,normal
Tora El-Balad,Saturday ,2:00 AM,Summer,normal
Tora El-Balad,Sunday ,3:00 AM,Autumn,normal
Tora El-Balad,Sunday ,3:00 AM,Spring,normal
Tora El-Balad,Sunday ,3:00 AM,Winter,normal
Tora El-Balad,Sunday ,3:00 AM,Summer,normal
Tora El-Balad,Sunday ,4:00 AM,Autumn,normal
Tora El-Balad,Sunday ,4:00 AM,Spring,normal
Tora El-Balad,Sunday ,4:00 AM,Winter,normal
Tora El-Balad,Sunday ,4:00 AM,Summer,normal
Tora El-Balad,Sunday ,5:00 AM,Autumn,normal
Tora El-Balad,Sunday ,5:00 AM,Spring,normal
Tora El-Balad,Sunday ,5:00 AM,Winter,normal
Tora El-Balad,Sunday ,5:00 AM,Summer,normal
Tora El-Balad,Sunday ,6:00 AM,Autumn,normal
Tora El-Balad,Sunday ,6:00 AM,Spring,normal
Tora El-Balad,Sunday ,6:00 AM,Winter,normal
Tora El-Balad,Sunday ,6:00 AM,Summer,normal
Tora El-Balad,Sunday ,7:00 AM,Autumn,busy
Tora El-Balad,Sunday ,7:00 AM,Spring,busy
Tora El-Balad,Sunday ,7:00 AM,Winter,very busy
Tora El-Balad,Sunday ,7:00 AM,Summer,busy
Tora El-Balad,Sunday ,8:00 AM,Autumn,very busy
Tora El-Balad,Sunday ,8:00 AM,Spring,very busy
Tora El-Balad,Sunday ,8:00 AM,Winter,very busy
Tora El-Balad,Sunday ,8:00 AM,Summer,very busy
Tora El-Balad,Sunday ,9:00 AM,Autumn,very busy
Tora El-Balad,Sunday ,9:00 AM,Spring,very busy
Tora El-Balad,Sunday ,9:00 AM,Winter,very busy
Tora El-Balad,Sunday ,9:00 AM,Summer,very busy
Tora El-Balad,Sunday ,10:00 AM,Autumn,very busy
Tora El-Balad,Sunday ,10:00 AM,Spring,very busy
Tora El-Balad,Sunday ,10:00 AM,Winter,very busy
Tora El-Balad,Sunday ,10:00 AM,Summer,very busy
Tora El-Balad,Sunday ,11:00 AM,Autumn,very busy
Tora El-Balad,Sunday ,11:00 AM,Spring,very busy
Tora El-Balad,Sunday ,11:00 AM,Winter,very busy
Tora El-Balad,Sunday ,11:00 AM,Summer,very busy
Tora El-Balad,Sunday ,12:00 PM,Autumn,very busy
Tora El-Balad,Sunday ,12:00 PM,Spring,very busy
Tora El-Balad,Sunday ,12:00 PM,Winter,very busy
Tora El-Balad,Sunday ,12:00 PM,Summer,very busy
Tora El-Balad,Sunday ,1:00 PM,Autumn,very busy
Tora El-Balad,Sunday ,1:00 PM,Spring,very busy
Tora El-Balad,Sunday ,1:00 PM,Winter,very busy
Tora El-Balad,Sunday ,1:00 PM,Summer,very busy
Tora El-Balad,Sunday ,2:00 PM,Autumn,very busy
Tora El-Balad,Sunday ,2:00 PM,Spring,very busy
Tora El-Balad,Sunday ,2:00 PM,Winter,very busy
Tora El-Balad,Sunday ,2:00 PM,Summer,very busy
Tora El-Balad,Sunday ,3:00 PM,Autumn,very busy
Tora El-Balad,Sunday ,3:00 PM,Spring,very busy
Tora El-Balad,Sunday ,3:00 PM,Winter,very busy
Tora El-Balad,Sunday ,3:00 PM,Summer,very busy
Tora El-Balad,Sunday ,4:00 PM,Autumn,very busy
Tora El-Balad,Sunday ,4:00 PM,Spring,very busy
Tora El-Balad,Sunday ,4:00 PM,Winter,very busy
Tora El-Balad,Sunday ,4:00 PM,Summer,very busy
Tora El-Balad,Sunday ,5:00 PM,Autumn,busy
Tora El-Balad,Sunday ,5:00 PM,Spring,very busy
Tora El-Balad,Sunday ,5:00 PM,Winter,very busy
Tora El-Balad,Sunday ,5:00 PM,Summer,very busy
Tora El-Balad,Sunday ,6:00 PM,Autumn,busy
Tora El-Balad,Sunday ,6:00 PM,Spring,busy
Tora El-Balad,Sunday ,6:00 PM,Winter,very busy
Tora El-Balad,Sunday ,6:00 PM,Summer,very busy
Tora El-Balad,Sunday ,7:00 PM,Autumn,busy
Tora El-Balad,Sunday ,7:00 PM,Spring,busy
Tora El-Balad,Sunday ,7:00 PM,Winter,busy
Tora El-Balad,Sunday ,7:00 PM,Summer,busy
Tora El-Balad,Sunday ,8:00 PM,Autumn,busy
Tora El-Balad,Sunday ,8:00 PM,Spring,busy
Tora El-Balad,Sunday ,8:00 PM,Winter,busy
Tora El-Balad,Sunday ,8:00 PM,Summer,busy
Tora El-Balad,Sunday ,9:00 PM,Autumn,normal
Tora El-Balad,Sunday ,9:00 PM,Spring,busy
Tora El-Balad,Sunday ,9:00 PM,Winter,busy
Tora El-Balad,Sunday ,9:00 PM,Summer,busy
Tora El-Balad,Sunday ,10:00 PM,Autumn,normal
Tora El-Balad,Sunday ,10:00 PM,Spring,normal
Tora El-Balad,Sunday ,10:00 PM,Winter,busy
Tora El-Balad,Sunday ,10:00 PM,Summer,normal
Tora El-Balad,Sunday ,11:00 PM,Autumn,normal
Tora El-Balad,Sunday ,11:00 PM,Spring,normal
Tora El-Balad,Sunday ,11:00 PM,Winter,normal
Tora El-Balad,Sunday ,11:00 PM,Summer,normal
Tora El-Balad,Sunday ,12:00 AM,Autumn,normal
Tora El-Balad,Sunday ,12:00 AM,Spring,normal
Tora El-Balad,Sunday ,12:00 AM,Winter,normal
Tora El-Balad,Sunday ,12:00 AM,Summer,normal
Tora El-Balad,Sunday ,1:00 AM,Autumn,normal
Tora El-Balad,Sunday ,1:00 AM,Spring,normal
Tora El-Balad,Sunday ,1:00 AM,Winter,normal
Tora El-Balad,Sunday ,1:00 AM,Summer,normal
Tora El-Balad,Monday ,2:00 AM,Autumn,normal
Tora El-Balad,Monday ,2:00 AM,Spring,normal
Tora El-Balad,Monday ,2:00 AM,Winter,normal
Tora El-Balad,Monday ,2:00 AM,Summer,normal
Tora El-Balad,Monday ,3:00 AM,Autumn,normal
Tora El-Balad,Monday ,3:00 AM,Spring,normal
Tora El-Balad,Monday ,3:00 AM,Winter,normal
Tora El-Balad,Monday ,3:00 AM,Summer,normal
Tora El-Balad,Monday ,4:00 AM,Autumn,normal
Tora El-Balad,Monday ,4:00 AM,Spring,normal
Tora El-Balad,Monday ,4:00 AM,Winter,normal
Tora El-Balad,Monday ,4:00 AM,Summer,normal
Tora El-Balad,Monday ,5:00 AM,Autumn,normal
Tora El-Balad,Monday ,5:00 AM,Spring,normal
Tora El-Balad,Monday ,5:00 AM,Winter,normal
Tora El-Balad,Monday ,5:00 AM,Summer,normal
Tora El-Balad,Monday ,6:00 AM,Autumn,busy
Tora El-Balad,Monday ,6:00 AM,Spring,busy
Tora El-Balad,Monday ,6:00 AM,Winter,busy
Tora El-Balad,Monday ,6:00 AM,Summer,busy
Tora El-Balad,Monday ,7:00 AM,Autumn,very busy
Tora El-Balad,Monday ,7:00 AM,Spring,very busy
Tora El-Balad,Monday ,7:00 AM,Winter,very busy
Tora El-Balad,Monday ,7:00 AM,Summer,very busy
Tora El-Balad,Monday ,8:00 AM,Autumn,very busy
Tora El-Balad,Monday ,8:00 AM,Spring,very busy
Tora El-Balad,Monday ,8:00 AM,Winter,very busy
Tora El-Balad,Monday ,8:00 AM,Summer,very busy
Tora El-Balad,Monday ,9:00 AM,Autumn,very busy
Tora El-Balad,Monday ,9:00 AM,Spring,very busy
Tora El-Balad,Monday ,9:00 AM,Winter,very busy
Tora El-Balad,Monday ,9:00 AM,Summer,very busy
Tora El-Balad,Monday ,10:00 AM,Autumn,very busy
Tora El-Balad,Monday ,10:00 AM,Spring,very busy
Tora El-Balad,Monday ,10:00 AM,Winter,very busy
Tora El-Balad,Monday ,10:00 AM,Summer,very busy
Tora El-Balad,Monday ,11:00 AM,Autumn,very busy
Tora El-Balad,Monday ,11:00 AM,Spring,very busy
Tora El-Balad,Monday ,11:00 AM,Winter,very busy
Tora El-Balad,Monday ,11:00 AM,Summer,very busy
Tora El-Balad,Monday ,12:00 PM,Autumn,very busy
Tora El-Balad,Monday ,12:00 PM,Spring,very busy
Tora El-Balad,Monday ,12:00 PM,Winter,very busy
Tora El-Balad,Monday ,12:00 PM,Summer,very busy
Tora El-Balad,Monday ,1:00 PM,Autumn,very busy
Tora El-Balad,Monday ,1:00 PM,Spring,very busy
Tora El-Balad,Monday ,1:00 PM,Winter,very busy
Tora El-Balad,Monday ,1:00 PM,Summer,very busy
Tora El-Balad,Monday ,2:00 PM,Autumn,very busy
Tora El-Balad,Monday ,2:00 PM,Spring,very busy
Tora El-Balad,Monday ,2:00 PM,Winter,very busy
Tora El-Balad,Monday ,2:00 PM,Summer,very busy
Tora El-Balad,Monday ,3:00 PM,Autumn,very busy
Tora El-Balad,Monday ,3:00 PM,Spring,very busy
Tora El-Balad,Monday ,3:00 PM,Winter,very busy
Tora El-Balad,Monday ,3:00 PM,Summer,very busy
Tora El-Balad,Monday ,4:00 PM,Autumn,very busy
Tora El-Balad,Monday ,4:00 PM,Spring,very busy
Tora El-Balad,Monday ,4:00 PM,Winter,very busy
Tora El-Balad,Monday ,4:00 PM,Summer,very busy
Tora El-Balad,Monday ,5:00 PM,Autumn,busy
Tora El-Balad,Monday ,5:00 PM,Spring,very busy
Tora El-Balad,Monday ,5:00 PM,Winter,very busy
Tora El-Balad,Monday ,5:00 PM,Summer,very busy
Tora El-Balad,Monday ,6:00 PM,Autumn,busy
Tora El-Balad,Monday ,6:00 PM,Spring,busy
Tora El-Balad,Monday ,6:00 PM,Winter,very busy
Tora El-Balad,Monday ,6:00 PM,Summer,busy
Tora El-Balad,Monday ,7:00 PM,Autumn,busy
Tora El-Balad,Monday ,7:00 PM,Spring,busy
Tora El-Balad,Monday ,7:00 PM,Winter,busy
Tora El-Balad,Monday ,7:00 PM,Summer,busy
Tora El-Balad,Monday ,8:00 PM,Autumn,busy
Tora El-Balad,Monday ,8:00 PM,Spring,busy
Tora El-Balad,Monday ,8:00 PM,Winter,busy
Tora El-Balad,Monday ,8:00 PM,Summer,busy
Tora El-Balad,Monday ,9:00 PM,Autumn,busy
Tora El-Balad,Monday ,9:00 PM,Spring,busy
Tora El-Balad,Monday ,9:00 PM,Winter,busy
Tora El-Balad,Monday ,9:00 PM,Summer,busy
Tora El-Balad,Monday ,10:00 PM,Autumn,normal
Tora El-Balad,Monday ,10:00 PM,Spring,normal
Tora El-Balad,Monday ,10:00 PM,Winter,busy
Tora El-Balad,Monday ,10:00 PM,Summer,busy
Tora El-Balad,Monday ,11:00 PM,Autumn,normal
Tora El-Balad,Monday ,11:00 PM,Spring,normal
Tora El-Balad,Monday ,11:00 PM,Winter,normal
Tora El-Balad,Monday ,11:00 PM,Summer,normal
Tora El-Balad,Monday ,12:00 AM,Autumn,normal
Tora El-Balad,Monday ,12:00 AM,Spring,normal
Tora El-Balad,Monday ,12:00 AM,Winter,normal
Tora El-Balad,Monday ,12:00 AM,Summer,normal
Tora El-Balad,Tuesday ,1:00 AM,Autumn,normal
Tora El-Balad,Tuesday ,1:00 AM,Spring,normal
Tora El-Balad,Tuesday ,1:00 AM,Winter,normal
Tora El-Balad,Tuesday ,1:00 AM,Summer,normal
Tora El-Balad,Tuesday ,2:00 AM,Autumn,normal
Tora El-Balad,Tuesday ,2:00 AM,Spring,normal
Tora El-Balad,Tuesday ,2:00 AM,Winter,normal
Tora El-Balad,Tuesday ,2:00 AM,Summer,normal
Tora El-Balad,Tuesday ,3:00 AM,Autumn,normal
Tora El-Balad,Tuesday ,3:00 AM,Spring,normal
Tora El-Balad,Tuesday ,3:00 AM,Winter,normal
Tora El-Balad,Tuesday ,3:00 AM,Summer,normal
Tora El-Balad,Tuesday ,4:00 AM,Autumn,normal
Tora El-Balad,Tuesday ,4:00 AM,Spring,normal
Tora El-Balad,Tuesday ,4:00 AM,Winter,normal
Tora El-Balad,Tuesday ,4:00 AM,Summer,normal
Tora El-Balad,Tuesday ,5:00 AM,Autumn,normal
Tora El-Balad,Tuesday ,5:00 AM,Spring,normal
Tora El-Balad,Tuesday ,5:00 AM,Winter,normal
Tora El-Balad,Tuesday ,5:00 AM,Summer,normal
Tora El-Balad,Tuesday ,6:00 AM,Autumn,busy
Tora El-Balad,Tuesday ,6:00 AM,Spring,busy
Tora El-Balad,Tuesday ,6:00 AM,Winter,busy
Tora El-Balad,Tuesday ,6:00 AM,Summer,busy
Tora El-Balad,Tuesday ,7:00 AM,Autumn,busy
Tora El-Balad,Tuesday ,7:00 AM,Spring,very busy
Tora El-Balad,Tuesday ,7:00 AM,Winter,very busy
Tora El-Balad,Tuesday ,7:00 AM,Summer,very busy
Tora El-Balad,Tuesday ,8:00 AM,Autumn,very busy
Tora El-Balad,Tuesday ,8:00 AM,Spring,very busy
Tora El-Balad,Tuesday ,8:00 AM,Winter,very busy
Tora El-Balad,Tuesday ,8:00 AM,Summer,very busy
Tora El-Balad,Tuesday ,9:00 AM,Autumn,very busy
Tora El-Balad,Tuesday ,9:00 AM,Spring,very busy
Tora El-Balad,Tuesday ,9:00 AM,Winter,very busy
Tora El-Balad,Tuesday ,9:00 AM,Summer,very busy
Tora El-Balad,Tuesday ,10:00 AM,Autumn,very busy
Tora El-Balad,Tuesday ,10:00 AM,Spring,very busy
Tora El-Balad,Tuesday ,10:00 AM,Winter,very busy
Tora El-Balad,Tuesday ,10:00 AM,Summer,very busy
Tora El-Balad,Tuesday ,11:00 AM,Autumn,very busy
Tora El-Balad,Tuesday ,11:00 AM,Spring,very busy
Tora El-Balad,Tuesday ,11:00 AM,Winter,very busy
Tora El-Balad,Tuesday ,11:00 AM,Summer,very busy
Tora El-Balad,Tuesday ,12:00 PM,Autumn,very busy
Tora El-Balad,Tuesday ,12:00 PM,Spring,very busy
Tora El-Balad,Tuesday ,12:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,12:00 PM,Summer,very busy
Tora El-Balad,Tuesday ,1:00 PM,Autumn,very busy
Tora El-Balad,Tuesday ,1:00 PM,Spring,very busy
Tora El-Balad,Tuesday ,1:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,1:00 PM,Summer,very busy
Tora El-Balad,Tuesday ,2:00 PM,Autumn,very busy
Tora El-Balad,Tuesday ,2:00 PM,Spring,very busy
Tora El-Balad,Tuesday ,2:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,2:00 PM,Summer,very busy
Tora El-Balad,Tuesday ,3:00 PM,Autumn,very busy
Tora El-Balad,Tuesday ,3:00 PM,Spring,very busy
Tora El-Balad,Tuesday ,3:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,3:00 PM,Summer,very busy
Tora El-Balad,Tuesday ,4:00 PM,Autumn,very busy
Tora El-Balad,Tuesday ,4:00 PM,Spring,very busy
Tora El-Balad,Tuesday ,4:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,4:00 PM,Summer,very busy
Tora El-Balad,Tuesday ,5:00 PM,Autumn,very busy
Tora El-Balad,Tuesday ,5:00 PM,Spring,very busy
Tora El-Balad,Tuesday ,5:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,5:00 PM,Summer,very busy
Tora El-Balad,Tuesday ,6:00 PM,Autumn,busy
Tora El-Balad,Tuesday ,6:00 PM,Spring,busy
Tora El-Balad,Tuesday ,6:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,6:00 PM,Summer,very busy
Tora El-Balad,Tuesday ,7:00 PM,Autumn,busy
Tora El-Balad,Tuesday ,7:00 PM,Spring,busy
Tora El-Balad,Tuesday ,7:00 PM,Winter,very busy
Tora El-Balad,Tuesday ,7:00 PM,Summer,busy
Tora El-Balad,Tuesday ,8:00 PM,Autumn,busy
Tora El-Balad,Tuesday ,8:00 PM,Spring,busy
Tora El-Balad,Tuesday ,8:00 PM,Winter,busy
Tora El-Balad,Tuesday ,8:00 PM,Summer,busy
Tora El-Balad,Tuesday ,9:00 PM,Autumn,busy
Tora El-Balad,Tuesday ,9:00 PM,Spring,busy
Tora El-Balad,Tuesday ,9:00 PM,Winter,busy
Tora El-Balad,Tuesday ,9:00 PM,Summer,busy
Tora El-Balad,Tuesday ,10:00 PM,Autumn,busy
Tora El-Balad,Tuesday ,10:00 PM,Spring,busy
Tora El-Balad,Tuesday ,10:00 PM,Winter,busy
Tora El-Balad,Tuesday ,10:00 PM,Summer,busy
Tora El-Balad,Tuesday ,11:00 PM,Autumn,normal
Tora El-Balad,Tuesday ,11:00 PM,Spring,normal
Tora El-Balad,Tuesday ,11:00 PM,Winter,normal
Tora El-Balad,Tuesday ,11:00 PM,Summer,normal
Tora El-Balad,Wednesday ,12:00 AM,Autumn,normal
Tora El-Balad,Wednesday ,12:00 AM,Spring,normal
Tora El-Balad,Wednesday ,12:00 AM,Winter,normal
Tora El-Balad,Wednesday ,12:00 AM,Summer,normal
Tora El-Balad,Wednesday ,1:00 AM,Autumn,normal
Tora El-Balad,Wednesday ,1:00 AM,Spring,normal
Tora El-Balad,Wednesday ,1:00 AM,Winter,normal
Tora El-Balad,Wednesday ,1:00 AM,Summer,normal
Tora El-Balad,Wednesday ,2:00 AM,Autumn,normal
Tora El-Balad,Wednesday ,2:00 AM,Spring,normal
Tora El-Balad,Wednesday ,2:00 AM,Winter,normal
Tora El-Balad,Wednesday ,2:00 AM,Summer,normal
Tora El-Balad,Wednesday ,3:00 AM,Autumn,normal
Tora El-Balad,Wednesday ,3:00 AM,Spring,normal
Tora El-Balad,Wednesday ,3:00 AM,Winter,normal
Tora El-Balad,Wednesday ,3:00 AM,Summer,normal
Tora El-Balad,Wednesday ,4:00 AM,Autumn,normal
Tora El-Balad,Wednesday ,4:00 AM,Spring,normal
Tora El-Balad,Wednesday ,4:00 AM,Winter,normal
Tora El-Balad,Wednesday ,4:00 AM,Summer,normal
Tora El-Balad,Wednesday ,5:00 AM,Autumn,normal
Tora El-Balad,Wednesday ,5:00 AM,Spring,normal
Tora El-Balad,Wednesday ,5:00 AM,Winter,normal
Tora El-Balad,Wednesday ,5:00 AM,Summer,normal
Tora El-Balad,Wednesday ,6:00 AM,Autumn,normal
Tora El-Balad,Wednesday ,6:00 AM,Spring,normal
Tora El-Balad,Wednesday ,6:00 AM,Winter,busy
Tora El-Balad,Wednesday ,6:00 AM,Summer,normal
Tora El-Balad,Wednesday ,7:00 AM,Autumn,busy
Tora El-Balad,Wednesday ,7:00 AM,Spring,busy
Tora El-Balad,Wednesday ,7:00 AM,Winter,very busy
Tora El-Balad,Wednesday ,7:00 AM,Summer,busy
Tora El-Balad,Wednesday ,8:00 AM,Autumn,very busy
Tora El-Balad,Wednesday ,8:00 AM,Spring,very busy
Tora El-Balad,Wednesday ,8:00 AM,Winter,very busy
Tora El-Balad,Wednesday ,8:00 AM,Summer,very busy
Tora El-Balad,Wednesday ,9:00 AM,Autumn,very busy
Tora El-Balad,Wednesday ,9:00 AM,Spring,very busy
Tora El-Balad,Wednesday ,9:00 AM,Winter,very busy
Tora El-Balad,Wednesday ,9:00 AM,Summer,very busy
Tora El-Balad,Wednesday ,10:00 AM,Autumn,very busy
Tora El-Balad,Wednesday ,10:00 AM,Spring,very busy
Tora El-Balad,Wednesday ,10:00 AM,Winter,very busy
Tora El-Balad,Wednesday ,10:00 AM,Summer,very busy
Tora El-Balad,Wednesday ,11:00 AM,Autumn,very busy
Tora El-Balad,Wednesday ,11:00 AM,Spring,very busy
Tora El-Balad,Wednesday ,11:00 AM,Winter,very busy
Tora El-Balad,Wednesday ,11:00 AM,Summer,very busy
Tora El-Balad,Wednesday ,12:00 PM,Autumn,very busy
Tora El-Balad,Wednesday ,12:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,12:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,12:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,1:00 PM,Autumn,very busy
Tora El-Balad,Wednesday ,1:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,1:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,1:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,2:00 PM,Autumn,very busy
Tora El-Balad,Wednesday ,2:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,2:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,2:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,3:00 PM,Autumn,very busy
Tora El-Balad,Wednesday ,3:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,3:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,3:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,4:00 PM,Autumn,very busy
Tora El-Balad,Wednesday ,4:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,4:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,4:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,5:00 PM,Autumn,very busy
Tora El-Balad,Wednesday ,5:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,5:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,5:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,6:00 PM,Autumn,very busy
Tora El-Balad,Wednesday ,6:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,6:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,6:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,7:00 PM,Autumn,busy
Tora El-Balad,Wednesday ,7:00 PM,Spring,very busy
Tora El-Balad,Wednesday ,7:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,7:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,8:00 PM,Autumn,busy
Tora El-Balad,Wednesday ,8:00 PM,Spring,busy
Tora El-Balad,Wednesday ,8:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,8:00 PM,Summer,very busy
Tora El-Balad,Wednesday ,9:00 PM,Autumn,busy
Tora El-Balad,Wednesday ,9:00 PM,Spring,busy
Tora El-Balad,Wednesday ,9:00 PM,Winter,very busy
Tora El-Balad,Wednesday ,9:00 PM,Summer,busy
Tora El-Balad,Wednesday ,10:00 PM,Autumn,busy
Tora El-Balad,Wednesday ,10:00 PM,Spring,busy
Tora El-Balad,Wednesday ,10:00 PM,Winter,busy
Tora El-Balad,Wednesday ,10:00 PM,Summer,busy
Tora El-Balad,Thursday ,11:00 PM,Autumn,normal
Tora El-Balad,Thursday ,11:00 PM,Spring,normal
Tora El-Balad,Thursday ,11:00 PM,Winter,normal
Tora El-Balad,Thursday ,11:00 PM,Summer,normal
Tora El-Balad,Thursday ,12:00 AM,Autumn,normal
Tora El-Balad,Thursday ,12:00 AM,Spring,normal
Tora El-Balad,Thursday ,12:00 AM,Winter,normal
